Name of the script:,Incoming_Test(5_point_Meas)_Bench25
Start Date:,1/16/2024 4:40:09 PM
S/N :,109660702
Operator Name:,ErikNakov
DUT Var:,DN5
Description of this test:,IncommingTest_5-points
DUT Ref:,DUT1#2_DN7(7-inch)
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming,
58,1/16/2024 18:20:57,Wake Mode,51.5,-40.8,16.0,01/16/2024  18:19:50,0.285091,01/16/2024  18:19:50,0,01/16/2024  18:16:42,0,01/16/2024  18:16:27,921B07 - 900300 - DF0000 - ,01/16/2024  18:16:37,0,Default Value,01/16/2024  18:16:48,Inactive,Active,100,
59,1/16/2024 18:22:58,Off Mode,51.5,-40.8,0.0,01/16/2024  18:21:51,0.00005,01/16/2024  18:21:51,0,01/16/2024  18:21:27,-1,01/16/2024  18:21:11,,01/16/2024  18:21:24,-2,No response,01/16/2024  18:21:37,Inactive,Active,0,
60,1/16/2024 18:24:40,Off Mode,53.9,-39.6,0.0,01/16/2024  18:23:32,0.000045,01/16/2024  18:23:32,0,01/16/2024  18:23:09,-1,01/16/2024  18:23:05,,01/16/2024  18:23:05,-2,No response,01/16/2024  18:23:18,Inactive,Active,0,
61,1/16/2024 18:26:21,Off Mode,59.0,-36.9,0.0,01/16/2024  18:25:14,0.000046,01/16/2024  18:25:14,0,01/16/2024  18:24:51,-1,01/16/2024  18:24:47,,01/16/2024  18:24:47,-2,No response,01/16/2024  18:25:00,Inactive,Active,0,
62,1/16/2024 18:28:03,Off Mode,65.4,-33.7,0.0,01/16/2024  18:26:56,0.000042,01/16/2024  18:26:56,0,01/16/2024  18:26:32,-1,01/16/2024  18:26:28,,01/16/2024  18:26:29,-2,No response,01/16/2024  18:26:42,Inactive,Active,0,
63,1/16/2024 18:29:44,Off Mode,71.5,-30.4,0.0,01/16/2024  18:28:37,0.000042,01/16/2024  18:28:37,0,01/16/2024  18:28:14,-1,01/16/2024  18:28:10,,01/16/2024  18:28:10,-2,No response,01/16/2024  18:28:23,Inactive,Active,0,
64,1/16/2024 18:31:26,Off Mode,76.4,-27.1,0.0,01/16/2024  18:30:18,0.000044,01/16/2024  18:30:18,0,01/16/2024  18:29:55,-1,01/16/2024  18:29:51,,01/16/2024  18:29:51,-2,No response,01/16/2024  18:30:04,Inactive,Active,0,
65,1/16/2024 18:33:07,Off Mode,79.3,-23.7,0.0,01/16/2024  18:32:00,0.000044,01/16/2024  18:32:00,0,01/16/2024  18:31:37,-1,01/16/2024  18:31:33,,01/16/2024  18:31:33,-2,No response,01/16/2024  18:31:46,Inactive,Active,0,
66,1/16/2024 18:34:48,Off Mode,80.3,-20.4,0.0,01/16/2024  18:33:42,0.000044,01/16/2024  18:33:42,0,01/16/2024  18:33:18,-1,01/16/2024  18:33:14,,01/16/2024  18:33:14,-2,No response,01/16/2024  18:33:28,Inactive,Active,0,
67,1/16/2024 18:36:29,Off Mode,80.4,-17.1,0.0,01/16/2024  18:35:23,0.000045,01/16/2024  18:35:23,0,01/16/2024  18:34:59,-1,01/16/2024  18:34:55,,01/16/2024  18:34:56,-2,No response,01/16/2024  18:35:09,Inactive,Active,0,
68,1/16/2024 18:38:11,Off Mode,77.1,-13.8,0.0,01/16/2024  18:37:04,0.000043,01/16/2024  18:37:04,0,01/16/2024  18:36:41,-1,01/16/2024  18:36:37,,01/16/2024  18:36:37,-2,No response,01/16/2024  18:36:50,Inactive,Active,0,
