Name of the script:,Incoming_Test(5_point_Meas)_Bench25,,,,,,,,,,,,,,,,,,,
Start Date:,1/16/2024 16:40,,,,,,,,,,,,,,,,,,,
S/N :,109660701,,,,,,,,,,,,,,,,,,,
Operator Name:,ErikNakov,,,,,,,,,,,,,,,,,,,
DUT Var:,DN5,,,,,,,,,,,,,,,,,,,
Description of this test:,IncommingTest_5-points,,,,,,,,,,,,,,,,,,,
DUT Ref:,DUT1#1_DN7(7-inch),,,,,,,,,,,,,,,,,,,
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming
82,1/16/2024 19:01,Off Mode,61.2,21.6,0,1/16/2024 19:00,0.000048,1/16/2024 19:00,0,1/16/2024 19:00,-1,1/16/2024 19:00,,1/16/2024 19:00,-2,No response,1/16/2024 19:00,Inactive,Active,0
83,1/16/2024 19:03,Off Mode,63.6,21.8,0,1/16/2024 19:02,0.000042,1/16/2024 19:02,0,1/16/2024 19:02,-1,1/16/2024 19:01,,1/16/2024 19:01,-2,No response,1/16/2024 19:02,Inactive,Active,0
84,1/16/2024 19:05,Off Mode,65.5,21.9,0,1/16/2024 19:03,0.000045,1/16/2024 19:03,0,1/16/2024 19:03,-1,1/16/2024 19:03,,1/16/2024 19:03,-2,No response,1/16/2024 19:03,Inactive,Active,0
85,1/16/2024 19:06,Off Mode,67,22.1,0,1/16/2024 19:05,0.000045,1/16/2024 19:05,0,1/16/2024 19:05,-1,1/16/2024 19:05,,1/16/2024 19:05,-2,No response,1/16/2024 19:05,Inactive,Active,0
86,1/16/2024 19:08,Off Mode,68.5,22.1,0,1/16/2024 19:07,0.000045,1/16/2024 19:07,0,1/16/2024 19:07,-1,1/16/2024 19:07,,1/16/2024 19:07,-2,No response,1/16/2024 19:07,Inactive,Active,0
87,1/16/2024 19:10,Off Mode,70,22,0,1/16/2024 19:09,0.000041,1/16/2024 19:09,0,1/16/2024 19:08,-1,1/16/2024 19:08,,1/16/2024 19:08,-2,No response,1/16/2024 19:08,Inactive,Active,0
88,1/16/2024 19:11,Off Mode,71,22.1,0,1/16/2024 19:10,0.000045,1/16/2024 19:10,0,1/16/2024 19:10,-1,1/16/2024 19:10,,1/16/2024 19:10,-2,No response,1/16/2024 19:10,Inactive,Active,0
89,1/16/2024 19:13,Off Mode,71.6,22.1,0,1/16/2024 19:12,0.000046,1/16/2024 19:12,0,1/16/2024 19:12,-1,1/16/2024 19:12,,1/16/2024 19:12,-2,No response,1/16/2024 19:12,Inactive,Active,0
90,1/16/2024 19:15,Off Mode,72.2,22.2,0,1/16/2024 19:14,0.000045,1/16/2024 19:14,0,1/16/2024 19:13,-1,1/16/2024 19:13,,1/16/2024 19:13,-2,No response,1/16/2024 19:14,Inactive,Active,0
91,1/16/2024 19:17,Off Mode,72.7,22.2,0,1/16/2024 19:15,0.000046,1/16/2024 19:15,0,1/16/2024 19:15,-1,1/16/2024 19:15,,1/16/2024 19:15,-2,No response,1/16/2024 19:15,Inactive,Active,0
